Unnamed: 0,date,city,market_sold_at,market_id,latitude,longitude,crop,crop_category,crop_id,unit(KG),price_flag,price_type,currency,cedi_price,dollar_price
3447,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Yam (puna),cereals and tubers,737,KG,aggregate,Retail,GHS,7.25,1.28
3448,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Eggs,"meat, fish and eggs",92,30 pcs,aggregate,Wholesale,GHS,475.8,84.21
3449,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,"Fish (mackerel, fresh)","meat, fish and eggs",744,20 KG,aggregate,Wholesale,GHS,282.51,5.0
3450,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,"Fish (mackerel, fresh)","meat, fish and eggs",744,KG,aggregate,Retail,GHS,9.67,1.71
3451,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Meat (chicken),"meat, fish and eggs",94,KG,aggregate,Retail,GHS,1.22,0.22
3452,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,"Meat (chicken, local)","meat, fish and eggs",792,10 KG,aggregate,Wholesale,GHS,63.72,11.28
3453,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Cowpeas,pulses and nuts,218,KG,aggregate,Retail,GHS,81.95,14.5
3454,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Soybeans,pulses and nuts,248,KG,aggregate,Retail,GHS,1.15,0.2
3455,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Eggplants,vegetables and fruits,434,27 KG,aggregate,Wholesale,GHS,12.47,2.21
3456,15/01/2020,Sekondi/Takoradi,Sekondi Takoradi,211,4.93,-1.7,Yam,cereals and tubers,99,KG,aggregate,Retail,GHS,9.6,1.7
