Unnamed: 0,date,city,market_sold_at,market_id,latitude,longitude,crop,crop_category,crop_id,unit(KG),price_flag,price_type,currency,cedi_price,dollar_price
2506,15/01/2014,Kumasi,Kma,215,6.68,-1.62,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,88.0,36.82
2507,15/01/2014,Kumasi,Kma,215,6.68,-1.62,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,37.4,15.65
2508,15/01/2014,Ejura,Ejura Sekye Dumase,223,7.38,-1.37,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,8.0,3.35
2509,15/01/2014,Ejura,Ejura Sekye Dumase,223,7.38,-1.37,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,108.0,45.19
2510,15/01/2014,Ejura,Ejura Sekye Dumase,223,7.38,-1.37,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,70.0,29.29
2511,15/01/2014,Ejura,Ejura Sekye Dumase,223,7.38,-1.37,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,42.0,17.57
2512,15/01/2014,Ejura,Ejura Sekye Dumase,223,7.38,-1.37,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,20.0,8.37
2515,15/01/2014,Kumasi,Kma,215,6.68,-1.62,Millet,cereals and tubers,73,93 KG,actual,Wholesale,GHS,112.5,47.07
2528,15/01/2014,Kumasi,Kma,215,6.68,-1.62,Rice (imported),cereals and tubers,64,50 KG,actual,Wholesale,GHS,186.0,77.82
2529,15/01/2014,Kumasi,Kma,215,6.68,-1.62,Rice (paddy),cereals and tubers,203,84 KG,actual,Wholesale,GHS,91.25,38.18
2539,15/01/2014,Kumasi,Kma,215,6.68,-1.62,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,72.0,30.13
2542,15/01/2014,Obuasi,Obuasi Municipal,216,6.2,-1.67,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,6.6,2.76
2543,15/01/2014,Obuasi,Obuasi Municipal,216,6.2,-1.67,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,300.0,125.52
