date,city,market_sold_at,market_id,latitude,longitude,crop,crop_category,crop_id,unit(KG),price_flag,price_type,currency,cedi_price,dollar_price
2008-09-15,Mankessim,MFANTSIMAN,214,5.27,-1.02,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,2.75,2.39
2008-10-15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,17.3,14.91
2008-10-15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,43.0,37.07
2008-10-15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,47.75,41.16
2008-10-15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,107.5,92.67
2008-10-15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,4.0,3.45
2008-10-15,Mankessim,MFANTSIMAN,214,5.27,-1.02,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,12.45,10.73
2008-10-15,Mankessim,MFANTSIMAN,214,5.27,-1.02,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,40.5,34.91
2008-10-15,Mankessim,MFANTSIMAN,214,5.27,-1.02,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,47.5,40.95
2008-10-15,Mankessim,MFANTSIMAN,214,5.27,-1.02,Yam,cereals and tubers,99,100 Tubers,actual,Wholesale,GHS,66.25,57.11
2008-10-15,Mankessim,MFANTSIMAN,214,5.27,-1.02,Plantains (apentu),vegetables and fruits,98,Bunch,actual,Wholesale,GHS,2.7,2.33
2008-11-15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,Cassava,cereals and tubers,68,91 KG,actual,Wholesale,GHS,17.2,14.45
2008-11-15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,Maize,cereals and tubers,51,100 KG,actual,Wholesale,GHS,49.12,41.28
2008-11-15,Cape Coast,CAPE COAST METRO,213,5.11,-1.24,Rice (local),cereals and tubers,71,50 KG,actual,Wholesale,GHS,55.0,46.22
