date,year,month,day,region,city,market_sold_at,latitude,longitude,unit(KG),cedi_price,cedi_price/kg
2008-09-15,2008,9,15,GREATER ACCRA,Tema,TEMA METROPOLIS,5.62,-0.02,1.0,3.75,3.75
2008-09-15,2008,9,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,1.0,7.5,7.5
2008-09-15,2008,9,15,VOLTA,Ho,HO MUNICIPAL,6.6,0.47,1.0,4.4,4.4
2008-09-15,2008,9,15,WESTERN,Sekondi/Takoradi,SEKONDI TAKORADI,4.93,-1.7,1.0,4.13,4.13
2008-10-15,2008,10,15,ASHANTI,Kumasi,KMA,6.68,-1.62,1.0,2.08,2.08
2008-10-15,2008,10,15,ASHANTI,Obuasi,OBUASI MUNICIPAL,6.2,-1.67,1.0,3.75,3.75
2008-10-15,2008,10,15,BRONG AHAFO,Sunyani,SUNYANI MUNICIPAL,7.33,-2.33,1.0,2.85,2.85
2008-10-15,2008,10,15,BRONG AHAFO,Techiman,TECHIMAN MUNICIPAL,7.58,-1.93,1.0,2.13,2.13
2008-10-15,2008,10,15,CENTRAL,Cape Coast,CAPE COAST METRO,5.11,-1.24,1.0,4.0,4.0
2008-10-15,2008,10,15,CENTRAL,Mankessim,MFANTSIMAN,5.27,-1.02,1.0,2.7,2.7
2008-10-15,2008,10,15,EASTERN,Koforidua,NEW JUABEN MUNICIPAL,6.08,-0.25,1.0,3.0,3.0
2008-10-15,2008,10,15,GREATER ACCRA,Accra,ACCRA METROPOLIS,5.55,-0.22,1.0,4.75,4.75
2008-10-15,2008,10,15,GREATER ACCRA,Tema,TEMA METROPOLIS,5.62,-0.02,1.0,3.75,3.75
2008-10-15,2008,10,15,NORTHERN,Tamale,TAMALE NORTH SUB METRO,9.4,-0.83,1.0,7.5,7.5
2008-10-15,2008,10,15,VOLTA,Ho,HO MUNICIPAL,6.6,0.47,1.0,3.5,3.5
